sequential  10000  1  3.141593 1
critical  10000  1  3.141593 1
atomic  10000  1  3.141593 1
sequential  10000  2  3.141593 0.865399
critical  10000  2  3.141599 0.261473
atomic  10000  2  3.141593 0.27349
sequential  10000  3  3.141593 0.944072
critical  10000  3  3.141593 0.230637
atomic  10000  3  3.141593 0.164299
sequential  10000  4  3.141593 0.953459
critical  10000  4  3.141332 0.225758
atomic  10000  4  3.141593 0.145838
sequential  100000  1  3.141593 1
critical  100000  1  3.141593 1
atomic  100000  1  3.141593 1
sequential  100000  2  3.141593 1.00641
critical  100000  2  3.141563 0.256768
atomic  100000  2  3.141593 0.259704
sequential  100000  3  3.141593 1.00387
critical  100000  3  3.141557 0.226677
atomic  100000  3  3.141593 0.149715
sequential  100000  4  3.141593 1.00159
critical  100000  4  3.141578 0.224437
atomic  100000  4  3.141593 0.122862
sequential  10000000  1  3.141593 1
critical  10000000  1  3.141593 1
atomic  10000000  1  3.141593 1
sequential  10000000  2  3.141593 0.984691
critical  10000000  2  3.141603 0.289087
atomic  10000000  2  3.141593 0.264413
sequential  10000000  3  3.141593 0.987477
critical  10000000  3  3.141592 0.184482
atomic  10000000  3  3.141593 0.137194
sequential  10000000  4  3.141593 0.90935
critical  10000000  4  3.141594 0.16417
atomic  10000000  4  3.141593 0.0992957
